question_id,job_domain,interview_type,category,difficulty,question,expected_concepts
29,Data Analyst,Technical,Data Visualization,Medium,"How would you choose the right chart for a business problem?","bar chart;line chart;scatter plot;distribution;comparison;trend;business objective"
30,Data Analyst,Technical,Case Study,Hard,"How would you investigate a sudden drop in monthly sales?","data validation;sales trend;time period;segments;products;customers;root cause;business insight"
31,Data Analyst,HR,Behavioral,Easy,"Why do you want to become a data analyst?","data interest;problem solving;business decisions;analytical thinking;career goal"
32,Data Analyst,HR,Behavioral,Medium,"Tell me about a data analysis project you have completed.","objective;dataset;tools;analysis;insights;result"
33,Data Analyst,HR,Behavioral,Medium,"Tell me about a time when you found an unexpected result in your analysis.","situation;unexpected result;investigation;root cause;action;result"
34,Data Analyst,HR,Behavioral,Medium,"How would you handle a situation where a manager disagrees with your analysis?","evidence;communication;data validation;discussion;alternative interpretation;professionalism"
35,Data Analyst,HR,Behavioral,Medium,"How do you prioritize multiple data analysis tasks with the same deadline?","business impact;urgency;dependencies;communication;prioritization;time management"
36,Data Analyst,HR,Behavioral,Medium,"How would you explain a technical data finding to a non-technical person?","simple language;business context;visualization;key insight;recommendation"
37,Data Analyst,HR,Behavioral,Medium,"Tell me about a mistake you made while working with data.","mistake;data validation;correction;responsibility;learning;prevention"
38,Data Analyst,HR,Behavioral,Medium,"What would you do if you received a dataset with unclear requirements?","clarification;business objective;stakeholders;questions;assumptions;documentation"
39,Data Analyst,HR,Behavioral,Medium,"How do you ensure your analysis is accurate?","data validation;cleaning;checks;reproducibility;peer review;testing"
40,Data Analyst,HR,Behavioral,Medium,"Why should we hire you as a data analyst intern?","SQL;Python;statistics;projects;analytical thinking;learning ability"

41,Python Developer,Technical,Python,Easy,"What is the difference between a list tuple and set in Python?","list;ordered;mutable;tuple;immutable;set;unique elements"
42,Python Developer,Technical,Python,Easy,"What is the difference between == and is in Python?","value comparison;identity comparison;object identity"
43,Python Developer,Technical,Python,Medium,"What are mutable and immutable objects in Python?","mutable objects;immutable objects;list;dictionary;tuple;string"
44,Python Developer,Technical,Python,Medium,"What is the difference between shallow copy and deep copy?","shallow copy;deep copy;nested objects;copy module;independent objects"
45,Python Developer,Technical,Python,Medium,"What are generators in Python and why are they useful?","generator;yield;iterator;lazy evaluation;memory efficiency"
46,Python Developer,Technical,Python,Medium,"What is exception handling in Python?","try;except;finally;raise;error handling"
47,Python Developer,Technical,Python,Medium,"What are decorators in Python?","decorator;function;wrapper;higher-order function;@syntax"
48,Python Developer,Technical,Python,Medium,"What is the difference between an iterator and an iterable?","iterable;iterator;iter;next;iteration"
49,Python Developer,Technical,Programming,Hard,"What is time complexity and why is it important when writing Python code?","time complexity;Big O;algorithm efficiency;input size;performance"
50,Python Developer,Technical,Debugging,Hard,"How would you debug a Python application that is running slowly?","profiling;time complexity;memory usage;database queries;logging;optimization"
51,Python Developer,HR,Behavioral,Easy,"Why did you choose Python as a programming language?","readability;ecosystem;libraries;problem solving;projects"
52,Python Developer,HR,Behavioral,Medium,"Tell me about a Python project you have built.","problem;Python implementation;libraries;your contribution;result"
53,Python Developer,HR,Behavioral,Medium,"Tell me about a bug that took you a long time to solve.","bug;debugging;root cause;solution;testing;learning"
54,Python Developer,HR,Behavioral,Medium,"How do you improve your programming skills?","practice;projects;documentation;code review;problem solving;continuous learning"
55,Python Developer,HR,Behavioral,Medium,"How do you handle feedback on your code?","code review;accept feedback;improvement;professionalism;learning"
56,Python Developer,HR,Behavioral,Medium,"Tell me about a time when you worked with someone else's code.","existing code;understanding;documentation;debugging;collaboration;adaptation"
57,Python Developer,HR,Behavioral,Medium,"What do you do when you are stuck on a programming problem?","debugging;documentation;search;experimentation;asking for help;problem solving"
58,Python Developer,HR,Behavioral,Medium,"How do you ensure your Python code is maintainable?","readability;PEP 8;functions;modules;comments;testing;documentation"
59,Python Developer,HR,Behavioral,Medium,"Tell me about a programming mistake you made and what you learned.","mistake;debugging;correction;learning;prevention"
60,Python Developer,HR,Behavioral,Medium,"Why should we hire you as a Python developer intern?","Python skills;projects;problem solving;learning ability;teamwork;contribution"

61,Frontend Developer,Technical,HTML/CSS,Easy,"What is the difference between HTML CSS and JavaScript?","HTML;structure;CSS;styling;JavaScript;behavior"
62,Frontend Developer,Technical,JavaScript,Medium,"What is the difference between var let and const in JavaScript?","scope;var;let;const;reassignment;block scope"
63,Frontend Developer,Technical,JavaScript,Medium,"What is the difference between == and === in JavaScript?","type coercion;loose equality;strict equality;data types"
64,Frontend Developer,Technical,React,Medium,"What are components and props in React?","components;props;reusable UI;parent-child communication;data passing"
65,Frontend Developer,Technical,React,Medium,"What is state in React and how is it different from props?","state;props;component data;mutability;parent component;useState"
66,Frontend Developer,Technical,React,Medium,"What is the useEffect hook used for in React?","useEffect;side effects;API calls;dependency array;component lifecycle"
67,Frontend Developer,Technical,Web Development,Medium,"What is responsive web design?","responsive design;media queries;flexible layouts;mobile devices;viewport"
68,Frontend Developer,Technical,Web Development,Medium,"What is the difference between local storage session storage and cookies?","localStorage;sessionStorage;cookies;persistence;browser storage"
69,Frontend Developer,Technical,Performance,Hard,"How would you improve the performance of a slow web application?","code splitting;lazy loading;image optimization;caching;rendering;network requests"
70,Frontend Developer,Technical,Web Development,Hard,"How does a browser load and render a web page?","HTTP request;HTML;CSS;JavaScript;DOM;CSSOM;render tree;painting"
71,Frontend Developer,HR,Behavioral,Easy,"Why do you want to work as a frontend developer?","UI interest;web development;creativity;problem solving;career goal"
72,Frontend Developer,HR,Behavioral,Medium,"Tell me about a frontend project you have built.","project objective;technologies;UI implementation;your contribution;result"
73,Frontend Developer,HR,Behavioral,Medium,"Tell me about a UI problem you faced and how you solved it.","problem;user experience;debugging;solution;testing;result"
74,Frontend Developer,HR,Behavioral,Medium,"How do you handle feedback about your user interface design?","feedback;user needs;iteration;testing;improvement"
75,Frontend Developer,HR,Behavioral,Medium,"How do you keep yourself updated with frontend technologies?","documentation;projects;courses;community;experimentation;continuous learning"
76,Frontend Developer,HR,Behavioral,Medium,"Tell me about a time you had difficulty understanding a frontend requirement.","clarification;requirements;communication;questions;implementation;result"
77,Frontend Developer,HR,Behavioral,Medium,"How do you handle disagreements with a designer or developer?","communication;requirements;discussion;compromise;user needs;teamwork"
78,Frontend Developer,HR,Behavioral,Medium,"Tell me about a frontend bug you fixed.","bug;debugging;root cause;solution;testing;learning"
79,Frontend Developer,HR,Behavioral,Medium,"How do you balance visual design and website performance?","user experience;performance;optimization;design;trade-offs"
80,Frontend Developer,HR,Behavioral,Medium,"Why should we hire you as a frontend developer intern?","HTML;CSS;JavaScript;React;projects;learning ability"

81,Data Scientist,Technical,Statistics,Easy,"What is the difference between correlation and causation?","correlation;causation;association;relationship;confounding variables"
82,Data Scientist,Technical,Statistics,Medium,"What is a p-value and how is it used in hypothesis testing?","null hypothesis;p-value;statistical significance;hypothesis testing;evidence"
83,Data Scientist,Technical,Statistics,Medium,"What is a normal distribution?","normal distribution;bell curve;mean;median;standard deviation;symmetry"
84,Data Scientist,Technical,Machine Learning,Medium,"What is cross-validation and why is it useful?","K-fold;training folds;validation fold;model evaluation;generalization"
85,Data Scientist,Technical,Machine Learning,Medium,"What is feature engineering and why is it important?","feature creation;feature transformation;feature selection;domain knowledge;model performance"
86,Data Scientist,Technical,Machine Learning,Medium,"What is the bias variance tradeoff?","bias;variance;underfitting;overfitting;generalization"
87,Data Scientist,Technical,Machine Learning,Medium,"What is regularization and why is it used?","regularization;overfitting;L1;L2;penalty;model complexity"
88,Data Scientist,Technical,Machine Learning,Hard,"How would you approach a machine learning problem when you have a small dataset?","data augmentation;feature engineering;cross validation;regularization;transfer learning;simple models"
89,Data Scientist,Technical,Machine Learning,Hard,"How would you select the most important features for a machine learning model?","feature selection;correlation;mutual information;feature importance;L1 regularization;dimensionality reduction"
90,Data Scientist,Technical,Machine Learning,Hard,"How would you evaluate a regression model?","MAE;MSE;RMSE;R-squared;residuals;test data"
91,Data Scientist,HR,Behavioral,Easy,"Why do you want to become a data scientist?","statistics;programming;machine learning;problem solving;career goal"
92,Data Scientist,HR,Behavioral,Medium,"Tell me about a data science project you have worked on.","problem;data;EDA;modeling;evaluation;result;learning"
93,Data Scientist,HR,Behavioral,Medium,"Tell me about a time when your model did not perform as expected.","model performance;investigation;data quality;feature engineering;experimentation;learning"
94,Data Scientist,HR,Behavioral,Medium,"How would you explain a complex machine learning model to a non-technical person?","simple language;business impact;visualization;examples;interpretability"
95,Data Scientist,HR,Behavioral,Medium,"What would you do if your analysis contradicted your initial assumption?","objectivity;validate data;investigate;avoid bias;accept evidence;communicate findings"
96,Data Scientist,HR,Behavioral,Medium,"Tell me about a time you had to learn a difficult statistical or machine learning concept.","difficult concept;learning strategy;practice;resources;implementation;understanding"
97,Data Scientist,HR,Behavioral,Medium,"How do you decide whether a machine learning model is good enough for deployment?","business objective;metrics;validation;test performance;cost;risk;deployment requirements"
98,Data Scientist,HR,Behavioral,Medium,"Tell me about a mistake you made in a data science project.","mistake;investigation;correction;learning;prevention"
99,Data Scientist,HR,Behavioral,Medium,"How do you handle disagreement with a teammate about a model or analysis?","evidence;experimentation;communication;discussion;teamwork;objective decision"
100,Data Scientist,HR,Behavioral,Medium,"Why should we hire you as a data science intern?","Python;statistics;machine learning;projects;problem solving;learning ability"
